,Name of the Element,Symbol of the Element,Atomic Number
0,Hydrogen,H,1
1,Helium,He,2
2,Lithium,Li,3
3,Beryllium,Be,4
4,Boron,B,5
5,Carbon,C,6
6,Nitrogen,N,7
7,Oxygen,O,8
8,Fluorine,F,9
9,Neon,Ne,10
10,Sodium,Na,11
11,Magnesium,Mg,12
12,Aluminium,Al,13
13,Silicon,Si,14
14,Phosphorus,P,15
15,Sulfur,S,16
16,Chlorine,Cl,17
17,Argon,Ar,18
18,Potassium,K,19
19,Calcium,Ca,20
20,Scandium,Sc,21
21,Titanium,Ti,22
22,Vanadium,V,23
23,Chromium,Cr,24
24,Manganese,Mn,25
25,Iron,Fe,26
26,Cobalt,Co,27
27,Nickel,Ni,28
28,Copper,Cu,29
29,Zinc,Zn,30
30,Gallium,Ga,31
31,Germanium,Ge,32
32,Arsenic,As,33
33,Selenium,Se,34
34,Bromine,Br,35
35,Krypton,Kr,36
36,Rubidium,Rb,37
37,Strontium,Sr,38
38,Yttrium,Y,39
39,Zirconium,Zr,40
40,Niobium,Nb,41
41,Molybdenum,Mo,42
42,Technetium,Tc,43
43,Ruthenium,Ru,44
44,Rhodium,Rh,45
45,Palladium,Pd,46
46,Silver,Ag,47
47,Cadmium,Cd,48
48,Indium,In,49
49,Tin,Sn,50
50,Antimony,Sb,51
51,Tellurium,Te,52
52,Iodine,I,53
53,Xenon,Xe,54
54,Cesium,Cs,55
55,Barium,Ba,56
56,Lanthanum,La,57
57,Cerium,Ce,58
58,Praseodymium,Pr,59
59,Neodymium,Nd,60
60,Promethium,Pm,61
61,Samarium,Sm,62
62,Europium,Eu,63
63,Gadolinium,Gd,64
64,Terbium,Tb,65
65,Dysprosium,Dy,66
66,Holmium,Ho,67
67,Erbium,Er,68
68,Thulium,Tm,69
69,Ytterbium,Yb,70
70,Lutetium,Lu,71
71,Hafnium,Hf,72
72,Tantalum,Ta,73
73,Tungsten,W,74
74,Rhenium,Re,75
75,Osmium,Os,76
76,Iridium,Ir,77
77,Platinum,Pt,78
78,Gold,Au,79
79,Mercury,Hg,80
80,Thallium,Tl,81
81,Lead,Pb,82
82,Bismuth,Bi,83
83,Polonium,Po,84
84,Astatine,At,85
85,Radon,Rn,86
86,Francium,Fr,87
87,Radium,Ra,88
88,Actinium,Ac,89
89,Thorium,Th,90
90,Protactinium,Pa,91
91,Uranium,U,92
92,Neptunium,Np,93
93,Plutonium,Pu,94
94,Americium,Am,95
95,Curium,Cm,96
96,Berkelium,Bk,97
97,Californium,Cf,98
98,Einsteinium,Es,99
99,Fermium,Fm,100
100,Mendelevium,Md,101
101,Nobelium,No,102
102,Lawrencium,Lr,103
103,Rutherfordium,Rf,104
104,Dubnium,Db,105
105,Seaborgium,Sg,106
106,Bohrium,Bh,107
107,Hassium,Hs,108
108,Meitnerium,Mt,109
109,Darmstadtium,Ds,110
110,Roentgenium,Rg,111
111,Copernicium,Cn,112
112,Nihonium,Nh,113
113,Flerovium,Fl,114
114,Moscovium,Mc,115
115,Livermorium,Lv,116
116,Tennessine,Ts,117
117,Oganesson,Og,118
